99 99 99   1  av1tp5f 0 1    1.511 0    0.000 0 0 5000    0.000 1 1 1    27  0.99 25.34   0 13.35
99 99 99   2  av1tp5f 0 1    1.367 0    0.000 0 0 5000    0.000 1 1 1    27  1.00 25.00   0 0.04
99 99 99   3  av1tp5f 0 1    1.300 0    0.000 0 0 5000    0.000 1 1 1    27  1.00 25.00   0 0.08
99 99 99   4  av1tp5f 0 1    1.280 0    0.000 0 0 5000    0.000 1 1 1    27  1.00 25.00   0 0.08
99 99 99   5  av1tp5f 0 1    2.255 0    0.000 0 0 5000    0.000 1 1 1    27  0.99 25.19   0 7.48
99 99 99   1    test2 1 1    8.395 2    9.144 0 0 5000    0.000 1 1 2   500  7.77 64.07   1 527.58
99 99 99   2    test2 1 1    8.474 2    8.864 0 0 5000    0.000 1 1 2   500  7.87 63.31  13 433.70
99 99 99   1    test2 1 1    8.655 2    9.030 0 0 5000    0.000 1 1 2   500  7.77 64.11   2 532.62
99 99 99   2    test2 1 1    8.626 2    9.125 0 0 5000    0.000 1 1 2   500  7.77 64.11   0 531.52
99 99 99   1    test2 1 1   10.564 2   12.754 0 0 5000    0.000 1 1 2   500  7.78 64.05   4 524.37
99 99 99   2    test2 1 1    4.324 1    5.050 0 0 5000    0.000 1 1 2   279  4.32 64.14   0 298.11
99 99 99   1    test2 1 1    1.046 1    2.534 0 0 5000    0.000 1 1 2    68  1.04 63.74   0 64.53
99 99 99   2    test2 1 1    8.703 1   10.003 0 0 5000    0.000 1 1 2   500  7.77 64.05   1 525.38
99 99 99   1  av1tp5f 0 1    1.207 1    2.006 0 0 5000    0.000 1 1 1    27  0.51 48.85   3 -95.14
99 99 99   2  av1tp5f 0 0    0.000 0    0.000 0 0 5000    0.000 1 1 1    27  0.49 50.81   1 -75.40
99 99 99   3  av1tp5f 0 1    0.033 1    1.036 0 0 5000    0.000 1 1 1     3  0.02 59.99   0 -0.00
99 99 99   4  av1tp5f 0 1    0.907 1    1.247 0 0 5000    0.000 1 1 1    27  0.43 57.72   1 -16.46
99 99 99   5  av1tp5f 0 1    0.143 1    0.666 0 0 5000    0.000 1 1 1     9  0.13 55.60   0 -9.24
99 99 99   1  av1tp5f 0 1    1.287 1    2.187 0 0 5000    0.000 1 1 1    27  0.49 50.57   2 -77.70
99 99 99   2  av1tp5f 0 1    0.887 1    1.246 0 0 5000    0.000 1 1 1    27  0.49 50.74   1 -76.06
99 99 99   3  av1tp5f 0 1    0.886 1    1.207 0 0 5000    0.000 1 1 1    27  0.49 50.78   1 -75.69
99 99 99   4  av1tp5f 0 1    0.827 1    1.167 0 0 5000    0.000 1 1 1    27  0.49 50.76   1 -75.88
99 99 99   5  av1tp5f 0 1    0.886 1    1.187 0 0 5000    0.000 1 1 1    27  0.49 50.79   2 -75.53
99 99 99   1  av1tp5f 0 1    1.447 1    1.687 0 0 5000    0.000 1 1 1    27  0.49 50.54   1 -78.00
99 99 99   2  av1tp5f 0 1    0.987 1    1.267 0 0 5000    0.000 1 1 1    27  0.49 50.84   2 -75.03
99 99 99   3  av1tp5f 0 1    0.987 1    1.227 0 0 5000    0.000 1 1 1    27  0.49 50.81   3 -75.38
99 99 99   4  av1tp5f 0 1    0.907 1    1.107 0 0 5000    0.000 1 1 1    27  0.49 50.74   3 -76.06
99 99 99   5  av1tp5f 0 1    0.886 1    1.106 0 0 5000    0.000 1 1 1    27  0.49 50.64   1 -76.98
